,gameID,playerID,decision,savePercentage,PPSave%,evenSave%,play_id,strength,gameWinningGoal,emptyNet,PKSavePercentage
6555,2017020666.0,8479496.0,W,95.34883721,85.71428571,97.14285714,2015020104_90,Even,False,False,100.0
6537,2017021008.0,8475852.0,L,84.61538462,83.33333333,84.21052632,2015020950_249,Even,False,False,100.0
6538,2017021008.0,8466141.0,W,97.5,100.0,96.96969697,2015020950_260,Even,True,False,100.0
6550,2015020320.0,8468685.0,L,79.16666667,83.33333333,76.47058824,2016020844_9,Even,True,False,100.0
6526,2017020460.0,8470860.0,W,96.875,100.0,96.2962963,2015020957_283,Even,False,True,100.0
6582,2016021061.0,8475660.0,W,100.0,100.0,100.0,2017020103_282,Even,True,False,100.0
6627,2015021224.0,8473404.0,W,97.22222222,100.0,95.65217391,2015021054_34,Even,False,False,100.0
6601,2016020856.0,8475717.0,W,96.55172414,100.0,95.83333333,2016020774_371,Power Play,False,False,100.0
6515,2016020576.0,8469608.0,L,87.5,100.0,85.71428571,2017021168_228,Power Play,False,False,100.0
6516,2016020576.0,8468011.0,W,100.0,100.0,100.0,2017021168_270,Even,False,False,100.0
6621,2016020389.0,8469608.0,L,85.18518519,66.66666667,86.36363636,2015020660_26,Even,False,False,100.0
6620,2016020608.0,8476434.0,L,94.44444444,91.66666667,95.45454545,2015020412_269,Short Handed,False,True,100.0
6616,2015020536.0,8471750.0,L,91.17647059,100.0,88.88888889,2015020412_115,Power Play,False,False,100.0
6611,2015020220.0,8474651.0,L,96.2962963,100.0,95.83333333,2017020635_308,Even,False,False,100.0
6603,2016020751.0,8475311.0,W,95.34883721,83.33333333,97.22222222,2017020635_30,Even,False,False,100.0
6517,2017020264.0,8474889.0,W,96.2962963,87.5,100.0,2017021168_280,Even,True,False,100.0
6520,2015020211.0,8470657.0,L,90.90909091,0.0,95.0,2016020060_258,Even,True,False,100.0
6594,2017020297.0,8474152.0,W,96.0,100.0,95.0,2016020774_186,Even,False,False,100.0
6519,2015020211.0,8470140.0,W,95.45454545,83.33333333,100.0,2016020060_161,Even,False,False,100.0
6587,2017021250.0,8475311.0,L,90.0,75.0,91.42857143,2015020858_88,Even,False,False,100.0
6586,2017020458.0,8474596.0,W,91.66666667,83.33333333,94.11764706,2017020768_176,Even,True,False,100.0
6585,2017020458.0,8475215.0,L,93.33333333,100.0,92.10526316,2017020768_116,Even,False,False,100.0
6584,2015021185.0,8473541.0,L,88.88888889,100.0,85.71428571,2017020768_19,Even,False,False,100.0
6583,2015021185.0,8471219.0,W,88.46153846,75.0,89.47368421,2017020103_293,Even,False,False,100.0
6724,2017021052.0,8475311.0,L,83.87096774,80.0,84.0,2016020413_114,Even,False,False,100.0
6726,2017021052.0,8473541.0,W,91.66666667,100.0,89.47368421,2016020413_209,Even,False,False,100.0
6728,2017020215.0,8470645.0,L,94.28571429,100.0,92.85714286,2016020413_297,Even,False,True,100.0
